,ISIN,Ticker,Company,Sector,Industry,Business Activity,Country,Market Cap,Size,1M(%),3M(%),6M(%),YTD(%),Date,Asset Turnover,Current Ratio,Debt/Assets,Debt/Equity,Dividend Coverage Ratio,Dividend Payout Ratio,EBITDA Margin,EBITDA Y/Y,EPS Y/Y,EV/EBITDA,EV/FCF,EV/Revenue,Earnings Retention Rate,FCF Yield,Gross Profit Margin,Interest Coverage Ratio,Net Profit Margin,Operating Profit Y/Y,PE,PEG,Price/Book,Price/Sales,Quick Ratio,ROA,ROE,ROIC,Reinvestment Rate,Revenue Y/Y,Working Capital/Assets
180,US47759T1007,JKS,JinkoSolar Holding Co Ltd,Energy,Renewable Energy,Photovoltaic Solar Systems & Equipment,China,2805785119.0,Mid Cap 2-10B,-5.358778626,1.58964274,217.7344951,0.1939550671,2019-12-31,0.22489046328182516,1.01314,41.15674,158.27734,,0.0,9.33507,0.8,0.934,8.63930485988183,,0.806485237009692,1.0,-35.0620711499704,18.26005,2.95522,3.10745,1.61,5.84751227223563,0.078394157339095,3.01132225031064,0.221120203400044,0.8271,2.21428413450505,10.5064909131206,4.87990672655137,10.5064909131206,0.137,0.00859
181,US2358252052,DAN,Dana Inc,Consumer Cyclicals,Automobiles & Auto Parts,"Auto, Truck & Motorcycle Parts (NEC)",United States of America,2797349864.0,Mid Cap 2-10B,2.379693284,33.51724138,50.1939488,-0.8196721311,2019-12-31,1.2148449160182462,1.71382,34.76454,127.54065,389.655172413793,25.6637168141593,11.2761,0.05,-0.466,5.00489116234568,31.7957791490196,0.564356636867749,0.743362831858407,7.9899425178543,12.98144,5.14634,2.70302,-0.035,4.66575744213948,-0.25095671501544,1.39869383514164,0.306359628770302,1.06721,3.5469630080682,14.0459912989434,9.33544652094479,10.4412678682411,0.059,0.18241
182,US6863301015,IX,Orix Corp,Financials,Banking Services,Consumer Lending (NEC),Japan,20666000000.0,Large Cap >10B,5.432516936,38.20933803,41.93446525,4.655373076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,US14448C1045,CARR,Carrier Global Corp,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships","Heating, Ventilation & Air Conditioning Systems",United States of America,33367000000.0,Large Cap >10B,3.578154426,13.35921057,42.42888303,2.067868505,2019-12-31,0.440341205787883,,,,,0.0,15.17627,-0.076,-0.226,,,,1.0,,29.31535,,11.58104,-0.077,,,,,,9.76372244750017,15.1040365466291,14.7435897435897,15.1040365466291,-0.016,
184,US0240611030,AXL,American Axle & Manufacturing Holdings Inc,Consumer Cyclicals,Automobiles & Auto Parts,Engine & Powertrain Systems,United States of America,997935042.0,Small Cap 300M-2B,6.144578313,32.88084465,9.987515604,5.635491607,2019-12-31,0.5718694852116566,1.81002,54.90624,,,,14.9964,-0.173,7.374,4.42040010847458,34.5242413575758,0.662900957944541,,10.3778050694005,12.35971,2.03355,-7.41245,-0.325,4.52564814347482,,1.23933720798981,0.185020135050299,1.44602,-6.8398409076459,-39.3662400975015,,-39.3662400975015,-0.102,0.12512
185,US09227Q1004,BLKB,Blackbaud Inc,Technology,Software & IT Services,Software (NEC),United States of America,3295800522.0,Mid Cap 2-10B,16.50604521,29.10679612,17.57736516,15.514246,2019-12-31,-0.1275441318868299,0.74283,23.43746,117.72741,50.4426653111365,,13.22023,-0.171,-0.736,36.5087456543289,43.2413442768447,4.8265404873043,,3.22730309466394,52.9399,1.59826,1.32249,-0.485,,-4.38841857995198,9.8585618389438,4.27094462447094,,0.660039664459514,3.09079134692627,4.32097895871603,-3.03654416927196,0.061,-0.1276
186,US48138M1053,JMIA,Jumia Technologies AG,Technology,Software & IT Services,Online Services (NEC),Germany,4666209478.0,Mid Cap 2-10B,44.16332665,233.2368269,406.1565523,42.62701363,2019-12-31,0.2436307084085528,2.5976,3.09003,5.02974,,,,0.246,-0.146,,,1.54203511357551,,,42.38941,-58.89713,-141.55466,0.274,,,,2.63619713189648,2.50423,,-193.295874223803,,-193.295874223803,0.179,0.57551
187,US70202L1026,PSN,Parsons Corp,Technology,Software & IT Services,IT Services & Consulting (NEC),United States of America,3591929064.0,Mid Cap 2-10B,-0.6685236769,14.88402062,3.362318843,-2.059873661,2019-12-31,0.9407591311883025,1.33383,7.6511,15.89583,231.382335438543,43.2185109595633,5.83896,0.2575,0.1455,18.2302015742248,27.5788483423413,1.06445468141596,0.567814890404367,3.98666037004006,21.03134,4.39276,3.46737,-0.054,21.9083860079291,,2.54964803368895,0.968148129418036,,3.97430071227185,,,,0.1555,0.11072
188,US3696041033,GE,General Electric Co,Consumer Non-Cyclicals,Consumer Goods Conglomerates,Consumer Goods Conglomerates,United States of America,93555000000.0,Large Cap >10B,1.136363636,45.04585809,62.47914192,-1.111111111,2020-12-31,-0.4454493612368547,1.54902,29.61744,202.47613,1499.16557009445,6.67037730820484,,,,,,1.59818169532398,0.933296226917952,,20.00151,,7.18421,,12.7501328138835,0.001433474577361,2.66107512362911,1.18839472990115,1.26562,2.20211742059673,16.4510976793711,4.89859714964167,15.3537473928158,,0.12145
189,US37253A1034,THRM,Gentherm Inc,Consumer Cyclicals,Automobiles & Auto Parts,"Auto, Truck & Motorcycle Parts (NEC)",United States of America,2002606553.0,Mid Cap 2-10B,-5.096824167,29.76064393,51.89685098,-6.07175713,2019-12-31,1.1448339148038642,2.38579,11.08407,17.05787,,0.0,14.58797,0.026,-0.027,10.4405548014448,15.5661716405116,1.52306532015552,1.0,6.43218418867997,29.67374,20.47092,3.8599,0.114,20.0987050620302,-14.3532173510241,3.0686870181197,1.52117171837758,1.62972,4.90135798169538,7.87652425738884,6.91062562464158,7.87652425738884,-0.073,0.29855
190,US6541101050,NKLA,Nikola Corporation,Consumer Cyclicals,Automobiles & Auto Parts,Electric (Alternative) Vehicles,United States of America,8868584393.0,Mid Cap 2-10B,43.14941104,16.67508843,-26.06468139,51.31061599,2019-12-31,,1.05746,0.0,0.0,,0.0,,,,,,,1.0,,,,,,112.026704298741,12.3874554701016,,,,1.14796584324649,54.6091690781662,1.15229348513845,54.6091690781662,,0.00018
191,US02005N1000,ALLY,Ally Financial Inc,Financials,Banking Services,Consumer Leasing,United States of America,14147000000.0,Large Cap >10B,9.407364787,42.86250939,82.08234441,6.646102075,2020-12-31,-0.8819608275063295,,13.25282,164.19778,381.384181560784,26.2202799263352,50.47781,,,9.53053683460581,,4.81080639275298,0.737797200736648,,,0.92661,14.21652,,4.74168708854296,-0.368571465294365,0.908717701469162,1.76036413928525,,0.598662105956578,7.45904735739551,2.337883407492,5.5032642604485,,
192,US0396531008,ACA,Arcosa Inc,Industrials,Construction & Engineering,Construction & Engineering (NEC),United States of America,2692836293.0,Mid Cap 2-10B,3.587357955,22.6572626,29.98382936,1.64497713,2019-12-31,0.33013177902962926,2.6662,4.66015,5.99307,1133.33333333333,8.82352941176471,13.74288,0.285,0.528,8.47374215207373,7.67621347893738,1.16453581190627,0.911764705882353,12.6795967016353,19.13754,22.48529,6.52312,0.295,19.2176621314997,0.364142060003684,1.20183488218511,1.24141861937935,1.66866,5.06402663865734,6.45773979107313,6.29286986133875,5.88793922127256,0.189,0.20552
193,US2296691064,CUB,Cubic Corp,Industrials,Aerospace & Defense,Aerospace & Defense (NEC),United States of America,1947609320.0,Small Cap 300M-2B,-0.5203252033,4.491887276,45.24773729,-1.38620245,2020-09-30,0.2169970854691232,1.30043,35.31609,83.06422,-35.07294508362,,11.27957,0.244,-1.057,15.2597778873722,,1.72123774017009,,-3.16027762262824,26.91164,2.81755,0.24623,0.129,39.043150836639,,1.89680617882086,1.2333150413044,1.08357,0.174282391653048,-0.307632127322456,,-1.18475301520059,-0.014,0.07585
194,US68373J1043,LPRO,Open Lending Corp,Industrials,Professional & Commercial Services,Financial Information Providers,United States of America,4652312134.0,Mid Cap 2-10B,11.45577396,41.86864738,108.3237658,3.804347826,2019-12-31,,1.5577,,,,0.0,,,,,,,1.0,,,,,,27.9338492526238,-8.24006356805492,1.36555590505028,,,0.92285348541102,0.957841547940946,0.957841547940946,0.957841547940946,,0.00182
195,US03938L2034,MT,ArcelorMittal SA,Basic Materials,Metals & Mining,Iron & Steel (NEC),Luxembourg,24147000000.0,Large Cap >10B,-6.048738033,58.05270864,86.92640692,-5.720524017,2019-12-31,0.3499139412667311,1.34429,16.31251,35.42228,-739.156626506024,,6.18424,-0.54,-1.48,6.6835065363728,13.8130019140274,0.413323982784677,,13.760677892078,5.17595,1.8705,-3.38597,-0.806,,,0.460696892052762,0.251618211428167,0.53178,-2.66916726669904,-6.08880122073765,,-6.91255101914226,-0.071,0.08337
196,US0997241064,BWA,Borgwarner Inc,Consumer Cyclicals,Automobiles & Auto Parts,"Auto, Truck & Motorcycle Parts (NEC)",United States of America,10267000000.0,Large Cap >10B,8.923476005,19.00039511,8.813908231,8.669772257,2019-12-31,0.7443220847948673,1.64706,20.20202,40.46243,548.571428571429,18.2291666666667,16.27655,-0.038,-0.153,6.17744339133535,26.4177488699225,1.00547490289732,0.817708333333333,5.87449492720085,20.66286,22.10909,8.05468,-0.056,13.1732381021791,-0.76554088534124,1.9026691316276,0.882276160503541,1.30056,8.27385552575351,17.1975592005822,11.7871030327349,14.0625874713094,-0.035,0.15533
197,US0382221051,AMAT,Applied Materials Inc,Technology,Semiconductors & Semiconductor Equipment,Semiconductor Machinery Manufacturing,United States of America,88434000000.0,Large Cap >10B,14.72647443,62.95955487,53.80992274,12.02780997,2020-10-25,0.42118809980882704,2.99821,24.37257,51.50312,454.64824120603,21.9950262503454,27.56075,0.267,0.382,11.6799376641637,21.338953551368,3.21907827379375,0.780049737496546,6.01171235147364,44.71573,18.1875,21.03825,0.292,15.4509157741302,0.407438694887861,5.26643221898681,3.27036681781188,2.12267,17.4928100152259,38.5163899531716,25.9025327922126,30.0446998722861,0.178,0.3986
198,US90184L1026,TWTR,Twitter Inc,Technology,Software & IT Services,Social Media & Networking,United States of America,40189000000.0,Large Cap >10B,-7.045621781,-3.623879458,35.9795479,-6.685133887,2019-12-31,-0.451965549543393,,19.93548,29.09431,,0.0,24.04865,-0.053,0.196,24.9730872872697,27.2404805214796,6.0056909077454,1.0,3.02934487088636,67.13117,2.61126,42.3683,-0.192,17.1586735622584,0.877153821825781,2.87059826671396,7.27778958000236,,12.8195705398081,18.8995601541717,19.1950765023771,18.8995601541717,0.137,0.53431
199,US17275R1023,CSCO,Cisco Systems Inc,Technology,Communications & Networking,Communications & Networking (NEC),United States of America,188370000000.0,Large Cap >10B,0.6834169871,25.93185022,-2.885691447,0.4359270236,2020-07-25,-0.10650988820534192,1.72015,15.37432,38.45728,186.402925531915,,32.26101,-0.03,-0.06,11.3850074676391,20.9581647885185,3.6729182729113,,7.42506038941037,63.97842,24.09744,22.74599,-0.028,16.7901806391848,-2.91493435332164,5.18451394623078,4.00368349526379,1.66954,11.6420792541761,31.3717810633506,21.1009414249607,14.5416905624484,-0.05,0.19232
200,US0028241000,ABT,Abbott Laboratories,Healthcare,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution (NEC)",United States of America,219050000000.0,Large Cap >10B,14.55313548,18.18610635,21.4494955,13.33949371,2020-12-31,,,,,,,,,,,,,,,50.48833,11.14,12.91898,,39.8998586067665,1.8367523660629,,5.65040279704115,,,,,,,
201,US9285421098,VVNT,Vivint Smart Home Inc,Technology,Communications & Networking,Communications & Networking (NEC),United States of America,3749100416.0,Mid Cap 2-10B,-8.963855422,17.54822651,17.91510612,-8.963855422,2019-12-31,,2.34384,,,,0.0,,,,,,,1.0,,,,,,105.552134646962,-5.22117545744573,1.26915454686802,,,1.18808145727314,1.22021280945134,1.22021280945134,1.22021280945134,,0.00145
202,US4381283088,HMC,Honda Motor Co Ltd,Consumer Cyclicals,Automobiles & Auto Parts,Auto & Truck Manufacturers (NEC),Japan,48054000000.0,Large Cap >10B,-6.16583983,11.88738424,3.678694766,-6.265486726,2020-03-31,0.2592720045878428,,,,232.678984423263,42.977667384903,,,,7.41634040858502,52.1516000870237,0.633468139693894,0.57022332615097,8.83909794495004,,,,,9.00648017451559,-0.402169438629332,0.523655304090029,0.28653325965355,,2.50474028392593,5.62272328724203,2.95791410580719,3.20620797487766,,
203,US5004723038,PHG,Koninklijke Philips NV,Healthcare,Healthcare Equipment & Supplies,Advanced Medical Equipment & Technology (NEC),Netherlands,49705000000.0,Large Cap >10B,-0.4766269478,15.63365282,0.295584703,0.2215248292,2020-12-31,0.19477079146389142,1.45145,25.02075,58.26401,,0.0,18.99155,,,12.6759605972523,25.6422103684875,2.40736185389332,1.0,4.21185128918983,44.95009,10.73529,6.16842,,23.6138780029555,8.43557284178515,3.33837342723734,2.23022984975451,1.06451,4.28289742160719,9.53391480713953,7.16014587471224,9.53391480713953,,0.12601
204,CH0102993182,TEL,TE Connectivity Ltd,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electrical Components,Switzerland,39839000000.0,Large Cap >10B,1.904358866,25.89178422,35.21779695,-0.5533988602,2020-09-25,0.08070184723173045,1.56748,21.54662,43.66509,-40.8517350157729,,20.05422,-0.173,-1.136,14.27603689517,43.2354913909553,2.86294824688712,,4.51949351353195,30.68518,36.04167,-2.12783,-0.235,33.900293255132,,3.36084525416723,2.60128491620112,1.03902,-1.33038832956647,-2.59610083696687,-1.87908284241688,-8.95103493209041,-0.095,0.10882
205,US4525211078,IMMR,Immersion Corp,Technology,Software & IT Services,Software (NEC),United States of America,340754378.0,Small Cap 300M-2B,-2.241112828,93.42507645,84.40233236,12.04605846,2019-12-31,-0.5131883696505342,,,,,,-53.55325,-1.357,-1.367,,,4.08158923928462,,-14.6200509202428,99.52716,,-55.75056,-1.404,,,2.78673767909384,6.51574194086724,,-14.8011947881245,-21.8562074398774,,-21.8562074398774,-0.676,0.76202
206,US92886T2015,VG,Vonage Holdings Corp,Technology,Telecommunications Services,Wireless Telecoms Service Providers,United States of America,3099193044.0,Mid Cap 2-10B,-6.446776612,14.91712707,6.393861894,-3.067961165,2019-12-31,0.5449584746705707,0.68706,36.42984,87.6726,,,7.84229,-0.318,-1.561,24.352451638541,51.8029025755468,1.90979064900374,,2.44497266902299,49.77576,0.21377,-1.63804,-0.893,,,3.17339317527751,1.50784833009065,0.68121,-1.4848021559431,-3.53309213568728,,-3.53309213568728,0.134,-0.05776
207,US8793601050,TDY,Teledyne Technologies Inc,Technology,Electronic Equipment & Parts,Electronic Equipment & Parts (NEC),United States of America,13193000000.0,Large Cap >10B,-7.248447689,15.402767,17.6077217,-8.921373539,2021-01-03,0.10464268842451871,2.2639,15.35927,24.11262,,,,,,,,4.72763179664312,,,38.26388,,13.02249,,36.9645292157273,,4.48646985625167,4.81370034346446,1.80746,8.33091497035778,13.524472935911,10.6148645079499,,,0.18974
208,US98986T1088,ZNGA,Zynga Inc,Technology,Software & IT Services,Internet Gaming,United States of America,10693000000.0,Large Cap >10B,3.121748179,6.216505895,2.270381838,0.4052684904,2019-12-31,-0.20004831221612526,1.98956,15.58362,28.87756,,0.0,-14.00929,,1.476,,20.8954583986856,3.78161506851616,1.0,4.01259694174926,60.34613,-15.5913,3.17215,,,0.963101988543348,2.94328407019636,4.51024235449537,,1.44386814082992,2.34739812544092,2.68503987774273,2.34739812544092,0.457,0.21409
209,US9202531011,VMI,Valmont Industries Inc,Industrials,Construction & Engineering,Construction & Engineering (NEC),United States of America,4100092105.0,Mid Cap 2-10B,12.7198364,36.28196773,55.78845413,10.28411365,2019-12-28,0.7601658410157821,2.78763,28.05192,66.18881,473.091714610959,21.1375504815665,11.64137,0.074,0.668,11.5367392179477,20.9304872312683,1.34303485698828,0.788624495184335,6.42111288335023,25.10416,6.41413,5.76319,0.105,19.802201854193,0.318566154316148,2.83094333839704,1.18302599299741,1.97333,5.97531798654424,13.9529966879906,9.42616066878771,11.0036749693753,0.004,0.32717
210,US4500561067,IRTC,iRhythm Technologies Inc,Healthcare,Healthcare Equipment & Supplies,Medical Monitoring Systems,United States of America,4862523883.0,Mid Cap 2-10B,-30.45668511,-24.2852005,33.76221111,-28.99962059,2019-12-31,0.7203180774837119,3.31871,11.40811,25.79814,,,-23.91495,0.182,0.024,,,7.95723490957903,,-2.45995545266834,75.5374,-33.32623,-25.43346,0.198,,,13.4173304064413,8.01836550868787,3.24117,-25.7557199664885,-58.1915903298391,,-58.1915903298391,0.457,0.39426
211,CH0025751329,LOGN,Logitech International SA,Technology,"Computers, Phones & Household Electronics",Computer Hardware (NEC),Switzerland,18055000000.0,Large Cap >10B,8.786316776,19.05128205,44.47942859,8.077281192,2020-03-31,1.2879110515883072,1.98066,,,362.154131100016,27.6125526157212,12.60571,0.042,0.742,18.1877487366049,26.1070637811721,2.29269396227042,0.723874473842788,5.22659722083547,37.17619,,15.11242,0.091,15.5414702157723,0.221127484999418,4.8801337762799,2.47863279504424,1.65965,20.499735846356,33.7426334789787,33.7426334789787,24.4254310556657,0.067,0.29632
212,US87157D1090,SYNA,Synaptics Inc,Technology,"Computers, Phones & Household Electronics",Computer Hardware (NEC),United States of America,3424899971.0,Mid Cap 2-10B,9.466019417,26.66921997,26.60456808,2.925311203,2020-06-27,0.46758773410180776,4.41458,34.951,72.27445,,0.0,14.52133,,,9.00076829922561,8.58841783034483,1.30703112644126,1.0,10.3685270766679,39.87555,5.13778,8.90621,,11.8156291412982,0.026762500178911,2.34370573787155,1.46776220106455,3.99672,7.65562572496456,16.0931996748849,10.699912803601,16.0931996748849,,0.49209
213,US5288771034,LX,Lexinfintech Holdings Ltd,Financials,Banking Services,Personal & Car Loans,China,1396336319.0,Small Cap 300M-2B,25.52504039,-9.545983702,-7.389749702,15.97014925,2019-12-31,0.15593953755509385,1.68387,42.78301,124.70363,,0.0,25.15423,0.379,0.072,8.75005885240806,,2.20101030941624,1.0,-4.59458640903278,48.28183,,21.63956,0.381,7.19212128743631,1.08396364863512,,1.70030913048807,1.67298,14.5159328287005,42.994250893696,19.0375733537008,42.994250893696,0.336,0.34849
214,US43289P1066,HIMX,Himax Technologies Inc,Technology,Semiconductors & Semiconductor Equipment,Semiconductors (NEC),Taiwan,1632304614.0,Small Cap 300M-2B,40.23668639,159.7260274,140.6091371,28.28146143,2020-12-31,0.7435929135429146,1.9714,17.86072,33.49141,,0.0,9.31237,,,14.989579545306,12.8037380117437,1.3958853995573,1.0,15.0998161344479,24.88284,34.62229,5.0897,,13.4119782214156,0.017224752577209,5.29988453566844,0.72203672000559,1.66279,5.22594759355875,10.323239115032,7.45805585033401,10.323239115032,,0.37609
215,US01973R1014,ALSN,Allison Transmission Holdings Inc,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Heavy Machinery & Vehicles (NEC),United States of America,4585701641.0,Mid Cap 2-10B,-5.414826865,17.8521779,6.581543848,-5.634129376,2019-12-31,0.07397765300087661,1.64508,56.58427,,827.397260273973,12.0860927152318,39.32543,-0.027,0.357,7.62230421805844,13.4563473799667,2.99750362318755,0.879139072847682,11.3403865826738,51.6679,6.67164,22.38695,-0.036,9.80752329591238,0.275834239595442,7.31294627587606,2.202876204596,1.16787,13.9058363071256,83.8888888888889,21.8912333487632,73.75,-0.006,0.06045
216,US9485961018,WB,Weibo Corp,Consumer Cyclicals,Media & Publishing,Advertising & Marketing (NEC),China,10322000000.0,Large Cap >10B,15.1010101,8.912783751,32.34610918,11.19785313,2019-12-31,-0.2293580895042822,4.54037,35.01636,73.72412,,0.0,35.28095,-0.025,-0.111,15.6661798270408,16.0123524493078,5.52717667373738,1.0,5.81185055411867,81.38981,19.98876,27.8923,-0.036,19.5360246824079,-1.9119383120712,,5.93927955746573,,12.2005459180667,24.5573910958452,15.7400686487837,24.5573910958452,0.028,0.59018
217,US2310211063,CMI,Cummins Inc,Consumer Cyclicals,Automobiles & Auto Parts,Engine & Powertrain Systems,United States of America,34696000000.0,Large Cap >10B,5.267412098,8.43332039,19.29624862,3.22324967,2020-12-31,0.5926568525947681,1.87798,18.40523,46.32328,229.42639042139,43.586964784796,12.55363,,,14.0093665239646,25.5247579084982,1.75868429383171,0.56413035215204,6.34495639504816,24.70345,18.17,9.14139,,18.9144236847563,-1.1081346827461,4.15777197614087,1.7080359396295,1.33733,8.55031750902953,22.9815659323014,15.5635552802195,12.9645988823945,,0.24585
218,US5024311095,LHX,L3harris Technologies Inc,Industrials,Aerospace & Defense,Aerospace & Defense (NEC),United States of America,36036000000.0,Large Cap >10B,-7.933866552,5.710159712,0.04040259865,-9.263569993,2021-01-01,,,18.71753,33.19418,,,,,,,26.7279771560047,2.4929854476058,,5.93490453600686,29.17445,7.38148,5.97999,,26.4138656724552,,,2.24301516983621,,,,,,,
219,US5951121038,MU,Micron Technology Inc,Technology,Semiconductors & Semiconductor Equipment,Semiconductors (NEC),United States of America,87558000000.0,Large Cap >10B,11.47984618,55.05150555,55.32843818,4.110135674,2020-09-03,-0.26144689181014963,2.70761,12.37565,17.03508,,0.0,40.63448,-0.32,-0.568,5.73749244635591,,2.33140000969256,1.0,0.158399274187808,30.56683,15.7732,12.64287,-0.586,19.3569142580198,-0.343116221282247,1.32232244688733,2.44456403079076,1.86255,5.28445376102959,7.17710378353834,6.47997950191308,7.17710378353834,-0.084,0.21107
220,US68555P1003,ORBC,ORBCOMM Inc,Technology,Telecommunications Services,Wireless Telecommunications Services (NEC),United States of America,584330642.0,Small Cap 300M-2B,11.12759644,61.42241379,89.14141414,0.9433962264,2019-12-31,-0.18217052319209537,3.00214,42.67927,104.39634,,,20.97767,0.162,-0.313,9.18616901983807,58.1325470344904,1.927044577318,,2.70228646040602,33.33297,0.30072,-6.66586,,,,1.39371207431365,1.22670751030282,2.30901,-3.10628649548285,-7.49021822599453,,-7.49021822599453,-0.015,0.19828
221,US1011371077,BSX,Boston Scientific Corp,Healthcare,Healthcare Equipment & Supplies,Advanced Medical Equipment & Technology (NEC),United States of America,50747000000.0,Large Cap >10B,-0.1690140845,5.791044776,-10.97714142,-1.418636996,2020-12-31,,,,,,,,,,,,,,,56.6327,2.16898,-1.41229,,54.529183351535,,,5.13773479269646,,,,,,,
222,US57667L1070,MTCH,Match Group Inc,Technology,Software & IT Services,Social Media & Networking,United States of America,37200000000.0,Large Cap >10B,-6.896551724,14.52669505,36.06381944,-7.49388187,2020-12-31,-0.2553461935871899,2.04028,,,,,33.2255,,,54.1354753557345,9.95200007505088,17.9867805171062,,,71.36964,4.26632,23.16389,,,,,,,9.76761766646391,56.5171463257873,8.96770564203511,,,0.17473
223,US44331K1034,HMI,Huami Corp,Technology,"Computers, Phones & Household Electronics",Phones & Handheld Devices (NEC),China,849328317.0,Small Cap 300M-2B,14.53634085,15.50126369,1.405325446,15.69620253,2019-12-31,1.330987317882274,1.76987,0.0422,0.08744,,0.0,10.73076,0.606,3.249,5.34014016694288,8.72173857091018,0.573037501276557,1.0,7.18781768703682,25.25256,,9.86486,0.588,9.23422039210866,0.02855487961074,,0.91407730558048,1.40972,13.6389218654863,26.6362250785365,26.5231848009857,26.6362250785365,0.527,0.36923
224,CA7751092007,RCIb,Rogers Communications Inc,Technology,Telecommunications Services,Wireless Telecommunications Services (NEC),Canada,22984000000.0,Large Cap >10B,-3.848717094,5.461079835,7.207213855,-2.615592305,2020-12-31,-0.3458982241415739,1.05208,54.70994,222.0516,157.64707603749,,42.64156,,,8.24803861161443,52.0126048048034,3.51709263590974,,6.50980005042427,23.27537,3.89771,11.44007,,17.8485374198834,-0.897024870290784,3.184732040262025,2.15475423972406,0.97935,4.19648623357453,16.7676022960661,7.31552088092239,6.13143782189689,,0.00883
225,US1281261099,CAMP,CalAmp Corp,Technology,Telecommunications Services,Wireless Telecommunications Services (NEC),United States of America,350697567.0,Small Cap 300M-2B,2.456499488,35.45331529,27.19186785,0.9072580645,2020-02-29,0.14799575889439845,1.95815,42.39711,152.41337,,,4.19659,-0.678,-5.518,28.0793095352773,,1.17837274813101,,-3.28737958675589,35.77697,-2.37618,-21.66143,-1.601,,,2.39399957196681,0.884728781476454,1.65539,-14.4263714594186,-46.1644138637607,,-46.1644138637607,0.006,0.23475
226,US6668071029,NOC,Northrop Grumman Corp,Industrials,Aerospace & Defense,Aerospace & Defense (NEC),United States of America,47783000000.0,Large Cap >10B,-4.777567361,-1.512368362,-8.272802119,-5.943160935,2020-12-31,0.4686267415764806,1.60167,33.73811,141.8187,335.331230283912,29.8212605832549,14.48952,,,11.4211729248012,31.5205455667909,1.65487361164814,0.701787394167451,5.64899048917555,20.3212,6.85497,8.666,,16.0147576264817,0.364876889958011,4.80216065711057,1.38783858257018,1.52244,7.45459220645644,32.8796783173523,15.3117777289843,23.0745437673987,,0.12962
227,US60879B1070,MOMO,Momo Inc,Technology,Software & IT Services,Mobile Application Software,China,3176722742.0,Mid Cap 2-10B,13.52154532,-1.291989664,-17.04668838,9.455587393,2019-12-31,0.40678805602150914,6.05882,22.03532,36.11364,338.622390710154,29.531419877546,22.98483,0.068,-0.03,9.4261355782495,8.40693912125785,2.16658163654742,0.70468580122454,10.4501697471839,50.09079,45.21885,17.40084,0.042,16.8609593329646,-5.58779467543946,6.93822273370421,2.95953387355671,,14.3166048588737,24.3460864522944,17.5737342608282,17.156341438317,0.215,0.58652
228,US77311W1018,RKT,Rocket Companies Inc,Financials,Banking Services,Consumer Lending (NEC),United States of America,42388000000.0,Large Cap >10B,2.939759036,13.01587302,-0.6973500707,5.637982196,2019-12-31,-0.4037472191091345,,,,,0.0,30.15598,0.395,0.458,,,,1.0,,,5.55504,16.98227,0.425,,,,,,5.63441579588924,28.4396238635935,7.80240272470311,28.4396238635935,0.22,
229,US38911N2062,GRVY,Gravity Co Ltd,Technology,Software & IT Services,Internet Gaming,Korea; Republic (S. Korea),1245798792.0,Small Cap 300M-2B,-7.45883446,43.08060654,183.4018337,-0.8077901959,2019-12-31,,,,,,,,,,3.46245464613613,7.60924411475077,0.506514217613335,,7.94061660006127,,,,,7.49704828780647,0.384293192763218,,0.838293108548394,,22.189579938799,40.6441979442277,,,,
230,US4837091010,KNDI,Kandi Technologies Group Inc,Consumer Cyclicals,Automobiles & Auto Parts,Electric (Alternative) Vehicles,China,727859328.0,Small Cap 300M-2B,24.30167598,30.49853372,-4.50643777,28.98550725,2019-12-31,-0.3912815553536139,1.48303,17.47735,29.78062,,,6.93355,2.273,0.235,32.8654125028741,,2.27873946908847,,-12.3141978600306,18.73483,0.18859,-5.2959,-1.555,,,1.14722289594955,1.823729411651,1.2727,-1.79707468927539,-3.24196366273737,,-3.24196366273737,0.207,0.17159
231,GB00BFMBMT84,ST,Sensata Technologies Holding PLC,Technology,Electronic Equipment & Parts,Electronic Equipment & Parts (NEC),United Kingdom,8573373854.0,Mid Cap 2-10B,5.886924422,24.94268684,36.21594601,3.337125521,2020-12-31,-0.26642232442427116,3.99912,50.97884,147.80646,,,20.55636,,,16.6651949284094,23.0289675821091,3.42575758587697,,5.43233450253897,26.1686,,5.39425,,42.2535211267606,-1.25405405683747,3.06655006721524,2.73839223950265,3.39387,2.23842390627903,6.22384922378046,2.62150067453944,,,0.2849
232,US8010561020,SANM,Sanmina Corp,Technology,Semiconductors & Semiconductor Equipment,Semiconductors (NEC),United States of America,2023540751.0,Mid Cap 2-10B,-1.049952275,26.6802444,20.35603715,-2.477265601,2020-10-03,2.0416132053935425,1.85174,9.22424,21.35073,,0.0,5.40819,-0.097,0.0,4.42738838655261,7.10483222855998,0.239441554163069,1.0,12.4802469777208,7.55286,9.07214,2.00726,-0.126,10.7872892821882,,1.05878046037609,0.270036528230539,1.28607,3.63922700841828,8.53863832697375,7.9797729277138,8.53863832697375,-0.155,0.34375
