Sentence_index,sentence,Project.COMPANY,Project.CAPACITY,Project.PROJECT_NAME,Project.COUNTRY_LOCATION,Project.STATUS,Project.PROJECT_DETAIL,Project.TARGET_DATE,Project.CITY_LOCATION,Project.TROPHY,Project.INPUT,Project.OUTPUT,Project.APPLICATION,Project.SITE_LOCATION,Project.PARTNER,Project.AMOUNT,Project.CARBON
123s14,"The manufacturing of solid oxide electrolyzers will occur at the Genvia gigafactory, which will be established in Beziers, Occitanie Region, France",[],[],['The manufacturing of solid oxide electrolyzers'],['France'],[],[],[],['Beziers'],[],[],[],[],"['Genvia gigafactory', 'Occitanie Region']",[],[],[]
124s17,"In addition, this manufacturing center will provide hydrogen refueling systems, a key part of the hydrogen ecosystem.",[],[],"['manufacturing center', 'key part of the hydrogen ecosystem']",['addition'],[],['provide hydrogen refueling systems'],[],[],[],[],[],[],[],[],[],[]
125s2,"The three said a feasibility study for the project, started in October 2019 and known as H2morrow, had shown that it would be possible to split CO2 from hydrogen derived from fossil fuels used in steelmaking and store it by the year 2027.",[],[],[],[],['feasibility study'],['CO2 from hydrogen derived from fossil fuels used in steelmaking and store'],"['2019', 'the year 2027']",['H2morrow'],[],[],[],[],[],[],[],[]
127s23,"German coal plant operator Steag, whose Duisburg-Walsum power plant supplied the Duisburg steel works for decades, has begun its own feasibility study for a 500 MW electrolyzer at Walsum.",['Steag'],['500 MW electrolyzer'],"['German coal plant operator', 'Duisburg-Walsum power plant']",['decades'],['begun its own feasibility study'],['Duisburg steel works'],[],[],[],[],[],[],[],[],[],[]
127s25,"ThyssenKrupp plans to convert furnaces at Duisburg to direct reduction (DRI) to produce green steel, requiring large amounts of hydrogen.",['ThyssenKrupp'],[],['reduction (DRI)'],[],['plans'],[],[],['Duisburg'],[],[],"['furnaces', 'green steel', 'large amounts of hydrogen']",[],[],[],[],[]
127s26,"Conversion of one blast furnace would result in an annual demand of 20,000 mt, Steag said.",['Conversion'],[],['blast furnace'],[],[],[],[],[],[],[],"['20,000 mt']",[],[],[],[],[]
130s0,"Tenaris, Edison and Snam together in a project to test the production of steel with green hydrogen in Dalmine","['Tenaris', 'Edison', 'Snam']",[],[],[],[],[],[],[],[],[],['green hydrogen'],[],[],[],[],[]
130s1,"Release date- 11012021 - Dalmine - Tenaris, Edison and Snam have signed a letter of intent to launch a project aimed at decarbonising the Tenaris steel plant in Dalmine, through the introduction of green hydrogen in some production processes","['Release date', 'Tenaris', 'Edison']",[],['Tenaris steel plant'],[],[],[],[],['Dalmine'],[],[],['green hydrogen'],[],[],[],[],[]
130s3,The project is aimed at generating hydrogen and oxygen using an electrolyser of approximately 20 MW to be installed at the Dalmine plant and at adapting the steel production process by using green hydrogen instead of natural gas,[],['20 MW'],['The project'],[],[],[],[],[],[],['oxygen'],"['hydrogen', 'green hydrogen instead of natural gas']",[],[],[],[],[]
131s14,"The manufacturing of solid oxide electrolyzers will occur at the Genvia gigafactory, which will be established in Beziers, Occitanie Region, France",[],[],['The manufacturing of solid oxide electrolyzers'],['France'],[],[],[],['Beziers'],[],[],[],[],"['Genvia gigafactory', 'Occitanie Region']",[],[],[]
132s10,"In addition to joining the Hydrogen Council, the Company has announced an initial green ammonia project at the company’s flagship Donaldsonville Nitrogen Complex to produce approximately 20,000 tons per year of green ammonia. The Company will install a state-of-the-art electrolysis system at Donaldsonville to generate carbon-free hydrogen from water that will then be supplied to an existing plant to produce green ammonia. Additionally, CF Industries is developing carbon capture and storage (CCS) and other carbon abatement projects across its production facilities that will enable CF to produce low-carbon ammonia.",['Hydrogen Council'],[],"['green ammonia project', 'install a state-of-the-art electrolysis system', 'developing carbon capture and storage (CCS) and other carbon abatement projects across its production facilities']",[],[],['generate carbon-free hydrogen from water that will then be supplied to an existing plant'],[],[],[],[],"['20,000 tons per year of green ammonia', 'green ammonia', 'low-carbon ammonia']",[],[],[],[],[]
137s15,Core to these design goals is the architecture and implementation of the systems power delivery network (PDN),['Core'],[],['systems power delivery network'],[],[],[],[],[],[],[],[],[],[],[],[],[]
139s8,"8 million project is intended ""to demonstrate how hydrogen production and use can enable grid resiliency, align domestic industries, increase competitiveness, and promote job creation",[],['8 million project'],[],[],[],['demonstrate how hydrogen production and use can enable grid resiliency'],[],[],[],[],[],[],[],[],[],[]
139s15,"In addition to low-cost feedstock inputs, Texas also benefits from plenty of underground storage. There are currently three hydrogen-specific underground storage fields in Texas, with a combined capacity of roughly 6 Bcf.",[],['6 Bcf'],[],[],[],['three hydrogen-specific underground storage fields'],[],['Texas'],[],['plenty of underground storage'],['low-cost feedstock inputs'],[],[],[],[],[]
144s0,Huge hydrogen project EoIs in,['Huge'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
144s3,"Some of the proposals, which were received following a tender from the government, are slated to be built on public land available in Diego de Almagro, while others were predominantly proposed for Antofagasta and Atacama.",['Some of'],[],[],['government'],"['the proposals', 'proposed']",[],[],"['Diego de Almagro', 'Antofagasta', 'Atacama']",[],[],[],[],['public land available'],[],[],[]
153s2,"Located at the heart of Total's La Mède biorefinery and powered by solar farms with a total capacity of more than 100 MW, the 40 MW electrolyser will produce 5 tonnes of green hydrogen per day to meet the needs of the biofuel production process at Total's La Mède biorefinery, avoiding 15,000 tonnes of CO2 emissions per year",[],"['total capacity', '100 MW', '40 MW electrolyser']",['solar farms'],[],[],[],[],[],[],[],"['5 tonnes of green hydrogen per day', '15,000 tonnes of CO2 emissions per year']",['meet the needs of the biofuel production process at Total'],"['La Mède biorefinery', ""'s La Mède biorefinery""]",[],[],[]
153s4,"The project thus integrates the implementation of 5 innovations that prefigure the industry's decarbonation solutions, without any precedent in Europe",[],[],"['The project', 'decarbonation solutions']",['Europe'],[],[],[],[],[],[],[],[],[],[],[],[]
153s6,"The Masshylia project has been labelled as innovative and of great interest to the region by several regional institutions (Provence-Alpes-Côte d'Azur South Region, Métropole Aix-Marseille-Provence, Capenergies competitiveness cluster)",['The'],[],['Masshylia project'],['region'],['several regional institutions'],[],[],[],[],[],[],[],"[""Provence-Alpes-Côte d'Azur South Region"", 'Métropole Aix-Marseille-Provence', 'Capenergies competitiveness cluster']",[],[],[]
154s3,"SIGNED COOPERATION AGREEMENT TO DESIGN, DEVELOP, BUILD AND OPERATE MASSHYLIA PROJECT, FRANCE'S LARGEST RENEWABLE HYDROGEN PRODUCTION SITE AT CHÂTEAUNEUF-LES-MARTIGUES IN PROVENCE-ALPES-CÔTE D'AZUR SOUTH REGION",[],[],[],[],['SIGNED COOPERATION AGREEMENT'],[],[],[],"[""FRANCE'S LARGEST""]",[],[],[],"['MASSHYLIA PROJECT', ""PROVENCE-ALPES-CÔTE D'AZUR""]",['RENEWABLE HYDROGEN'],[],[]
155s3,"SIGNED COOPERATION AGREEMENT TO DESIGN, DEVELOP, BUILD AND OPERATE MASSHYLIA PROJECT, FRANCE'S LARGEST RENEWABLE HYDROGEN PRODUCTION SITE AT CHÂTEAUNEUF-LES-MARTIGUES IN PROVENCE-ALPES-CÔTE D'AZUR SOUTH REGION",[],[],[],[],['SIGNED COOPERATION AGREEMENT'],[],[],[],"[""FRANCE'S LARGEST""]",[],[],[],"['MASSHYLIA PROJECT', ""PROVENCE-ALPES-CÔTE D'AZUR""]",['RENEWABLE HYDROGEN'],[],[]
156s3,"SIGNED COOPERATION AGREEMENT TO DESIGN, DEVELOP, BUILD AND OPERATE MASSHYLIA PROJECT, FRANCE'S LARGEST RENEWABLE HYDROGEN PRODUCTION SITE AT CHÂTEAUNEUF-LES-MARTIGUES IN PROVENCE-ALPES-CÔTE D'AZUR SOUTH REGION",[],[],[],[],['SIGNED COOPERATION AGREEMENT'],[],[],[],"[""FRANCE'S LARGEST""]",[],[],[],"['MASSHYLIA PROJECT', ""PROVENCE-ALPES-CÔTE D'AZUR""]",['RENEWABLE HYDROGEN'],[],[]
157s5,"Located at the heart of Total's La Mède biorefinery and powered by solar farms with a total capacity of more than 100 MW, the 40 MW electrolyser will produce 5 tonnes of green hydrogen per day to meet the needs of the biofuel production process at Total's La Mède biorefinery, avoiding 15,000 tonnes of CO2 emissions per year",[],"['total capacity', '100 MW', '40 MW electrolyser']",['solar farms'],[],[],[],[],[],[],[],"['5 tonnes of green hydrogen per day', '15,000 tonnes of CO2 emissions per year']",['meet the needs of the biofuel production process at Total'],"['La Mède biorefinery', ""'s La Mède biorefinery""]",[],[],[]
157s7,"The project thus integrates the implementation of 5 innovations that prefigure the industry's decarbonation solutions, without any precedent in Europe",[],[],"['The project', 'decarbonation solutions']",['Europe'],[],[],[],[],[],[],[],[],[],[],[],[]
157s9,"The Masshylia project has been labelled as innovative and of great interest to the region by several regional institutions (Provence-Alpes-Côte d'Azur South Region, Métropole Aix-Marseille-Provence, Capenergies competitiveness cluster)",['The'],[],['Masshylia project'],['region'],['several regional institutions'],[],[],[],[],[],[],[],"[""Provence-Alpes-Côte d'Azur South Region"", 'Métropole Aix-Marseille-Provence', 'Capenergies competitiveness cluster']",[],[],[]
157s18,"""The Masshylia project demonstrates the capacity of Engie to meet the challenges of the energy transition by developing innovative carbon neutral solutions",[],[],"['Masshylia project', 'developing innovative carbon neutral solutions']",[],[],[],[],[],[],[],[],[],[],['Engie'],[],[]
158s3,"Located at the heart of Total's La Mède biorefinery and powered by solar farms with a total capacity of more than 100 MW, the 40 MW electrolyser will produce 5 tonnes of green hydrogen per day to meet the needs of the biofuel production process at Total's La Mède biorefinery, avoiding 15,000 tonnes of CO2 emissions per year",[],"['total capacity', '100 MW', '40 MW electrolyser']",['solar farms'],[],[],[],[],[],[],[],"['5 tonnes of green hydrogen per day', '15,000 tonnes of CO2 emissions per year']",['meet the needs of the biofuel production process at Total'],"['La Mède biorefinery', ""'s La Mède biorefinery""]",[],[],[]
158s5,"The project thus integrates the implementation of 5 innovations that prefigure the industry's decarbonation solutions, without any precedent in Europe",[],[],"['The project', 'decarbonation solutions']",['Europe'],[],[],[],[],[],[],[],[],[],[],[],[]
158s7,"The Masshylia project has been labelled as innovative and of great interest to the region by several regional institutions (Provence-Alpes-Côte d'Azur South Region, Métropole Aix-Marseille-Provence, Capenergies competitiveness cluster)",['The'],[],['Masshylia project'],['region'],['several regional institutions'],[],[],[],[],[],[],[],"[""Provence-Alpes-Côte d'Azur South Region"", 'Métropole Aix-Marseille-Provence', 'Capenergies competitiveness cluster']",[],[],[]
158s16,"""The Masshylia project demonstrates the capacity of Engie to meet the challenges of the energy transition by developing innovative carbon neutral solutions",[],[],"['Masshylia project', 'developing innovative carbon neutral solutions']",[],[],[],[],[],[],[],[],[],[],['Engie'],[],[]
160s5,"The hydrogen production hub will deliver clean energy to industry in the HyNet 'low carbon cluster', as well as to fuel buses, trains and heavy goods vehicles, to heat our homes, and to generate electricity when the sun is not shining or the wind blowing",[],[],[],[],[],"[""The hydrogen production hub will deliver clean energy to industry in the HyNet 'low carbon cluster""]",[],[],[],['wind blowing'],[],"['fuel buses, trains and heavy goods vehicles', 'heat our homes']",[],[],[],[]
160s10,The project will use Johnson Matthey's best in class Low Carbon Hydrogen (LCH™) technology,"['Johnson', 'Matthey']",[],"['The project', 'class Low Carbon Hydrogen (LCH™) technology']",[],[],[],[],[],[],[],[],[],[],[],[],[]
160s37,Progressive Energy are experts in project development and implementation with extensive experience of overcoming the technical and commercial challenges associated with bringing new technologies to market.,['Progressive Energy'],[],[],[],['in project development and implementation'],[],[],[],[],[],[],[],[],[],[],[]
164s1,"January 13 - Total and Engie are to design, develop, build and operate France's largest renewable hydrogen production site at Chateauneuf-les-Martigues in the Provence-Alpes-Cote d'Azur South region. The Masshylia scheme is at Total's La Mede biorefinery and will be powered by 100MW of solar. The 40MW electrolyser will produce 5 tonnes of green hydrogen per day to meet the needs of the biofuel production process at the biorefinery, avoiding 15,000 tonnes of CO2 emissions per year. In the second phase new renewable capacity may be developed for the electrolyser, which has a production capacity of up to 15 tonnes of green hydrogen per day. Construction could start in 2022 and be completed in 2024. The developers have applied for subsidies from the French AMI and European authorities - IPCEI and Innovation Fund.","['Engie', 'Innovation Fund']","['100MW of solar', '40MW electrolyser', 'electrolyser']",['renewable hydrogen production site'],['France'],[],['meet the needs of the biofuel production process at the biorefinery'],"['in 2022', '2024']",[],[],[],"['5 tonnes of green hydrogen per day', '15 tonnes of green hydrogen per day']",[],"['Chateauneuf-les-Martigues', ""Provence-Alpes-Cote d'Azur South region"", 'La Mede biorefinery']",[],[],"['15,000 tonnes of CO2 emissions per year']"
170s6,"""The hydrogen production hub will deliver clean energy to industry in the HyNet ""low carbon cluster"", as well as to fuel buses, trains and heavy goods vehicles, to heat our homes, and to generate electricity when the sun is not shining or the wind blowing,"" the statement said.",[],[],[],[],[],"['hydrogen production hub will deliver clean energy to industry in the HyNet ""low carbon cluster']",[],[],[],[],[],"['fuel buses, trains and heavy goods vehicles', 'heat our homes']",[],[],[],[]
172s1,"Guildford, UK, January 13, 2021 - Linde (NYSE: LIN; FWB: LIN) today announced it will build, own and operate the world's largest PEM (Proton Exchange Membrane) electrolyzer plant at the Leuna Chemical Complex in Germany","['Linde', 'NYSE']",[],['PEM (Proton Exchange Membrane) electrolyzer plant'],"['UK', 'Germany']",[],[],[],['Guildford'],[],[],[],[],['Leuna Chemical Complex'],[],[],[]
173s24,"The H2mare initiative under the consortium lead of Siemens Energy is a modular project consisting of multiple sub-projects to which more than 30 partners from industry, institutes and academia are contributing",['Siemens Energy'],[],['The H2mare initiative'],[],[],[],[],[],[],[],[],[],[],[],[],[]
174s27,"The H2mare initiative under the consortium lead of Siemens Energy is a modular project consisting of multiple sub-projects to which more than 30 partners from industry, institutes and academia are contributing",['Siemens Energy'],[],['The H2mare initiative'],[],[],[],[],[],[],[],[],[],[],[],[],[]
176s1,"13 -- Essar Oil UK will build the country's first low-carbon hydrogen hub along with UK-based Progressive Energy, at the former's Stanlow refinery in Ellesmere Port, Cheshire, the company said today.","['13', 'Essar Oil UK']",[],['low-carbon hydrogen hub'],[],[],[],[],"['Ellesmere Port', 'Cheshire']",[],[],[],[],['Stanlow refinery'],['Progressive Energy'],[],[]
176s8,"Natural gas and fuel gases from the refinery will be converted into low-carbon hydrogen, with carbon dioxide safely captured and stored offshore in sub-surface reservoirs in Liverpool Bay.",[],[],[],[],[],"['Natural gas and fuel gases from the refinery will be converted into low-carbon hydrogen', 'carbon dioxide safely captured and stored offshore in sub-surface reservoirs']",[],['Liverpool Bay'],[],[],[],[],[],[],[],[]
176s9,"The hydrogen production hub will deliver clean energy to industry in the HyNet 'low carbon cluster', as well as to fuel buses, trains and heavy goods vehicles, to heat our homes, and to generate electricity when the sun is not shining or the wind blowing.",[],[],[],[],[],"[""The hydrogen production hub will deliver clean energy to industry in the HyNet 'low carbon cluster""]",[],[],[],['wind blowing'],[],"['fuel buses, trains and heavy goods vehicles', 'heat our homes']",[],[],[],[]
177s4,Saudi Arabia has hydrogen project for NEOM city,['Saudi Arabia'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
177s9,"One hydrogen project in the Middle East is led by Air Products and ACWA Power for the NEOM city in Saudi Arabia that will be connected to 4 GW of renewables capacity to produce ammonia for exports. The region may be challenged by its use of demineralized water for electrolysis to produce hydrogen, Wietfeld said. ""We all know that water is a scarce resource in the Middle East,"" he said.",['Air Products'],['4 GW'],['One hydrogen project'],"['Saudi', 'Arabia']",[],[],[],[],[],"['renewables capacity', 'demineralized water', 'electrolysis']","['ammonia for exports', 'hydrogen']",[],"['Middle East', 'NEOM city']",['ACWA Power'],[],[]
177s10,"""We have developed pilot plants in the last 10 years and we are now following a certain scheme to develop various projects in Europe and are very open to do that in other regions, for example, the Middle East,"" Wietfeld said on the webinar.",[],[],[],['Europe'],[],[],[],[],[],[],[],[],[],[],[],[]
179s8,"This week, Saudi Arabia's crown prince, Mohammed bin Salman, unveiled plans to build a zero-carbon city at NEOM, with infrastructure costs of $100 billion to $200 billion.  (Full Story)","['Saudi Arabia', 'Mohammed', 'Salman']",[],['zero-carbon city'],[],['unveiled plans'],[],[],"['bin', 'NEOM']",[],[],[],[],[],[],"['100 billion', '$200 billion']",[]
179s10,"The $5 billion project in NEOM will consist of a 1.2 million tonnes a year green ammonia plant, which will use hydrogen produced from an electrolyser powered by more than 4 GW of solar, wind and storage. Production is due to begin in 2025.",[],['4 GW'],"['green ammonia plant', 'solar, wind and storage']",[],[],[],['2025'],[],[],[],"['1.2 million tonnes a year', 'hydrogen produced']",[],[],[],['5 billion'],[]
180s8,"This week, Saudi Arabia's crown prince, Mohammed bin Salman, unveiled plans to build a zero-carbon city at NEOM, with infrastructure costs of $100 billion to $200 billion.  (Full Story)","['Saudi Arabia', 'Mohammed', 'Salman']",[],['zero-carbon city'],[],['unveiled plans'],[],[],"['bin', 'NEOM']",[],[],[],[],[],[],"['100 billion', '$200 billion']",[]
180s10,"The $5 billion project in NEOM will consist of a 1.2 million tonnes a year green ammonia plant, which will use hydrogen produced from an electrolyser powered by more than 4 GW of solar, wind and storage. Production is due to begin in 2025.",[],['4 GW'],"['green ammonia plant', 'solar, wind and storage']",[],[],[],['2025'],[],[],[],"['1.2 million tonnes a year', 'hydrogen produced']",[],[],[],['5 billion'],[]
183s21,"The H2mare initiative under the consortium lead of Siemens Energy is a modular project consisting of multiple sub-projects to which more than 30 partners from industry, institutes and academia are contributing",['Siemens Energy'],[],['The H2mare initiative'],[],[],[],[],[],[],[],[],[],[],[],[],[]
185s0,"PLATTS: 100--Engie, Total plan France's largest green hydrogen plant","['PLATTS', 'Engie', 'Total']",[],['green hydrogen plant'],['France'],['plan'],[],[],[],[],[],[],[],[],[],[],[]
185s2,"Project involves 100 MW solar, 40 MW electrolyzer",[],"['100 MW solar', '40 MW electrolyzer']",['Project'],[],[],[],[],[],[],[],[],[],[],[],[],[]
185s7,"The Masshylia project at Martigues, west of Marseilles, will be powered by a 100 MW solar farm with a 40 MW electrolyzer set to produce 5 mt/day of green hydrogen to meet the needs of the biofuel production process at Total's nearby biorefinery, avoiding 15,000 mt of CO2/yr, the companies said in a joint statement.",['The'],"['100 MW', '40 MW electrolyzer']","['Masshylia project', 'solar farm']",[],[],['meet the needs of the biofuel production process'],[],"['Martigues', 'Marseilles']",[],[],"['5 mt/day of green hydrogen', '15,000 mt of CO2/yr']",[],['nearby biorefinery'],[],[],[]
185s8,Construction is to start next year following the completion of the advanced engineering study.,['Construction'],[],[],[],['advanced engineering study'],[],[],[],[],[],[],[],[],[],[],[]
186s1,"LINDE PLC (""LIN-N"") - To Build, Own and Operate World's Largest PEM Electrolyzer - for Green Hydrogen Linde announced it will build, own and operate the world's largest PEM (Proton Exchange Membrane) electrolyzer plant at the Leuna Chemical Complex in Germany","['LINDE PLC (""', 'Operate World', 'Largest', 'Green Hydrogen Linde']",[],"['PEM Electrolyzer', 'PEM (Proton Exchange Membrane) electrolyzer plant']",['Germany'],['announced'],[],[],[],"[""world's largest""]",[],[],[],['Leuna Chemical Complex'],[],[],[]
190s4,"Germany, Denmark, NL proposed offshore projects",[],[],[],"['Germany', 'Denmark']",['proposed offshore projects'],[],[],[],[],[],[],[],[],[],[],[]
190s16,"Meanwhile, RWE in December announced plans to trial a 14 MW proto-type offshore wind turbine with electrolyzer at the port of Mukran by 2023 as part of the AquaVentus projects.","['Meanwhile', 'RWE']",['14 MW'],['proto-type offshore wind turbine with electrolyzer'],[],['announced plans'],[],['2023'],['Mukran'],['AquaVentus projects'],[],[],[],['at the port'],[],[],[]
192s0,PLATTS: 100--Germany to spend Eur700 mil on three hydrogen research projects,['PLATTS'],[],['three hydrogen research projects'],['Germany'],[],[],[],[],[],[],[],[],[],[],['Eur700 mil'],[]
193s2,"Located at the heart of Total's La Mède biorefinery and powered by solar farms with a total capacity of more than 100 MW, the 40 MW electrolyser will produce 5 tonnes of green hydrogen per day to meet the needs of the biofuel production process at Total's La Mède biorefinery, avoiding 15,000 tonnes of CO2 emissions per year",[],"['total capacity', '100 MW', '40 MW electrolyser']",['solar farms'],[],[],[],[],[],[],[],"['5 tonnes of green hydrogen per day', '15,000 tonnes of CO2 emissions per year']",['meet the needs of the biofuel production process at Total'],"['La Mède biorefinery', ""'s La Mède biorefinery""]",[],[],[]
193s4,"The project thus integrates the implementation of 5 innovations that prefigure the industry's decarbonation solutions, without any precedent in Europe",[],[],"['The project', 'decarbonation solutions']",['Europe'],[],[],[],[],[],[],[],[],[],[],[],[]
193s6,"The Masshylia project has been labelled as innovative and of great interest to the region by several regional institutions (Provence-Alpes-Côte d'Azur South Region, Métropole Aix-Marseille-Provence, Capenergies competitiveness cluster)",['The'],[],['Masshylia project'],['region'],['several regional institutions'],[],[],[],[],[],[],[],"[""Provence-Alpes-Côte d'Azur South Region"", 'Métropole Aix-Marseille-Provence', 'Capenergies competitiveness cluster']",[],[],[]
193s14,'The Masshylia project demonstrates the capacity of Engie to meet the challenges of the energy transition by developing innovative carbon neutral solutions,[],[],"['Masshylia project', 'developing innovative carbon neutral solutions']",[],[],[],[],[],[],[],[],[],[],['Engie'],[],[]
194s3,"Natural gas and fuel gases from the refinery will be converted into low-carbon hydrogen, with carbon dioxide safely captured and stored offshore in sub-surface reservoirs in Liverpool Bay.",[],[],[],[],[],"['Natural gas and fuel gases from the refinery will be converted into low-carbon hydrogen', 'carbon dioxide safely captured and stored offshore in sub-surface reservoirs']",[],['Liverpool Bay'],[],[],[],[],[],[],[],[]
195s2,"""HyNet and hydrogen production is integral to Stanlow's strategy and will set it on a journey to be the UK's first net zero emission refinery with the ambition to avoid emissions of over two million tonnes of carbon dioxide to the atmosphere per year, the equivalent of taking nearly a million cars off the road, "" Stein Ivar Bye, chief executive officer, Essar Oil UK, was quoted as saying in the statement. The company said that the project will provide Essar Oil UK low-carbon hydrogen to decarbonise its own energy demand and help create a hydrogen economy across North West England and North East Wales. Natural gas, and fuel gases from the refinery, will be converted into low carbon hydrogen, with carbon dioxide safely captured and stored offshore in subsurface reservoirs in Liverpool Bay.","['Essar Oil UK', 'Essar Oil']",[],"['emission refinery', 'converted into low carbon hydrogen']",['North East'],[],['carbon dioxide safely captured and stored offshore in subsurface reservoirs'],[],"['Wales', 'Liverpool Bay']",['first net zero'],"['Natural gas', 'fuel gases']","['UK low-carbon hydrogen', 'energy demand']","['avoid emissions of over two million tonnes of carbon dioxide to the atmosphere per year', 'hydrogen economy across North West England and']",['refinery'],[],[],['million cars off the road']
204s16,He says he has built hydrogen-power home systems for conservationists and celebrities – one of his systems reportedly powers Johnny Depp's private island in the Bahamas,[],[],['hydrogen-power home systems for conservationists'],[],[],[],[],['Johnny Depp'],[],[],[],[],['private island'],[],[],[]
204s27,"Strizki, 64, wasn't always a conservationist",['Strizki'],[],[],['64'],[],[],[],[],[],[],[],[],[],[],[],[]
205s1,"Essar Oil UK plans to invest £750 million along with clean energy firm Progressive Energy to set up two hydrogen production hubs at its Stanlow Refinery, the company said in a statement on Wednesday. The two companies have tied up to set up a venture to produce low-carbon hydrogen that will be used across the UK's industrial decarbonisation cluster - HyNet North West - which has been developed by Progressive Energy. - Our Bureau",['Essar Oil UK'],[],['two hydrogen production hubs'],[],['plans'],[],[],[],"[""UK's industrial decarbonisation cluster""]",['clean energy'],['low-carbon hydrogen'],[],"['Stanlow Refinery', 'HyNet North West']","['Progressive Energy', 'Progressive Energy']",['750 million'],[]
206s3,Progress on Australia's Pilbara project being closely watched,['Progress'],[],['Pilbara project'],['Australia'],[],[],[],[],[],[],[],[],[],[],[],[]
206s9,The Western Australian Government has already granted environmental clearance for the massive wind and solar hybrid renewable energy project in the remote Pilbara region near Port Hedland,['The Western Australian Government'],[],['massive wind and solar hybrid renewable energy project'],[],['granted environmental clearance'],[],[],['Port Hedland'],[],[],[],[],['remote Pilbara region'],[],[],[]
210s4,The blue towers will be the facilities that convert waste biomass into renewable hydrogen via a thermochemical process,[],[],['The blue towers'],[],[],[],[],[],[],['waste biomass'],['renewable hydrogen'],[],[],[],[],[]
210s8,"Another facility is being built in California and the company expects to announce ""two or three commercial projects"" within the year, he added",[],[],['Another facility'],[],[],[],['the year'],['California'],['two or three commercial projects'],[],[],[],[],[],[],[]
213s3,"The Masshylia project at Martigues, west of Marseilles, will be powered by a 100 MW solar farm with a 40 MW electrolyzer set to produce 5 mt/day of green hydrogen to meet the needs of the biofuel production process at Total's nearby biorefinery, avoiding 15,000 mt of CO2/year, the companies said in a joint statement.",['The'],"['100 MW', '40 MW electrolyzer']","['Masshylia project', 'solar farm']",[],[],['meet the needs of the biofuel production process'],[],"['Martigues', 'Marseilles']",[],[],"['5 mt/day of green hydrogen', '15,000 mt of CO2/year']",[],['nearby biorefinery'],[],[],[]
213s4,Construction is to start next year following the completion of the advanced engineering study.,['Construction'],[],[],[],['advanced engineering study'],[],[],[],[],[],[],[],[],[],[],[]
214s32,"Ben Madden, Director at Element Energy, said: “We are pleased to share the results and findings of the H2ME 1 project","['Ben', 'Madden', 'Element Energy']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
214s37,"Thanks to the learning provided here and through other funded projects we are confident in our ability to provide the best possible designs for building the next generation of Hydrogen Refuelling Stations across the UK to match the needs of heavy duty vehicles, high use car fleets and rail",[],[],['generation of Hydrogen Refuelling Stations'],['UK'],[],[],[],[],[],[],[],['heavy duty vehicles'],[],[],[],[]
223s2,"Located at the heart of Total's La Mede biorefinery and powered by solar farms with a total capacity of more than 100 MW, the 40 MW electrolyser will produce 5 tonnes of green hydrogen per day to meet the needs of the biofuel production process at Total's La Mede biorefinery, avoiding 15,000 tonnes of CO2 emissions per year",[],"['total capacity', '100 MW', '40 MW electrolyser']",['solar farms'],[],[],[],[],[],[],[],"['5 tonnes of green hydrogen per day', '15,000 tonnes of CO2 emissions per year']",['meet the needs of the biofuel production process at Total'],"['La Mede biorefinery', ""'s La Mede biorefinery""]",[],[],[]
223s6,"The Masshylia project has been labelled as innovative and of great interest to the region by several regional institutions (Provence-Alpes-Cote d'Azur South Region, Metropole Aix-Marseille-Provence, Capenergies competitiveness cluster)","['The', 'regional institutions']",[],['Masshylia project'],[],[],[],[],[],[],[],[],[],"[""Provence-Alpes-Cote d'Azur South Region"", 'Metropole Aix-Marseille-Provence', 'Capenergies competitiveness cluster']",[],[],[]
223s14,'The Masshylia project demonstrates the capacity of Engie to meet the challenges of the energy transition by developing innovative carbon neutral solutions,[],[],"['Masshylia project', 'developing innovative carbon neutral solutions']",[],[],[],[],[],[],[],[],[],[],['Engie'],[],[]
224s2,"The area not only has plenty of ageing platforms and pipelines that could host production and transmission of hydrogen cheaply, but also salt caverns to store it at low cost",[],[],[],[],[],['plenty of ageing platforms and pipelines that could host production and transmission of hydrogen cheaply'],[],[],[],[],[],[],[],[],[],[]
224s9,"The scenario project is coupled with on-site hydrogen production, consisting of proton exchange membrane electrolyzers and storage in a salt cavern",[],[],['The scenario project'],[],[],[],[],[],[],[],['on-site hydrogen production'],[],[],[],[],[]
225s2,A natural gas-fired power plant under construction in southeastern Ohio plans to also use hydrogen to lower its emissions profile and become one of the first electric generators in the country to burn the fuel,[],[],['A natural gas-fired power plant'],[],['plans'],[],[],['Ohio'],[],['emissions'],['hydrogen'],[],[],[],[],[]
225s3,"The 485 MW natural gas plant underway at the Long Ridge Energy Terminal that straddles Monroe County, OH, and Wetzel County, WV, was sanctioned by Fortress Transportation and Infrastructure LLC (FTAI) early last year. However, in a collaboration with affiliate New Fortress Energy LLC (NFE) and General Electric (GE), the plant would use a combustion turbine to burn 15-20% hydrogen by volume in the gas stream.","['The', 'New Fortress Energy LLC', 'General Electric', 'GE)']",['485 MW'],['natural gas plant'],[],[],[],['last year'],"['OH', 'Wetzel County']",[],"['combustion turbine', 'gas stream']",['15-20% hydrogen by volume'],[],['Long Ridge Energy Terminal that straddles Monroe County'],['Fortress Transportation'],[],[]
